sku,name,color,size,description,image_link,category_id,price,mfr_cost,shipping_cost,total_cost
IHR81934,Nike Air Max 1 Mens shoes,Lavender,6.684034249,Men sportswear Grey Ultraboost 1.0 Shoes:  The OG of comfort.  These classic grey Ultraboost 1.0 shoes offer iconic style and unparalleled cushioning.,Nike Air Max 1 Mens shoes.png ,4,1145,827,878,1282
AZL30758,Nike Air Max Plus Drift Mens Shoes(1),Magenta,6.681481782,Men sportswear White Advantage Base Court Lifestyle Shoes:  Transition seamlessly from court to street with these stylish white Advantage shoes.  Comfortable and versatile for all-day wear.,Nike Air Max Plus Drift Mens Shoes(1).png ,4,1936,1858,1456,1003
TER79525,Nike Air More Uptempo Mens Slides,LimeGreen,6.678929314,Men sportswear White Grand Court Cloudfoam Comfort Shoes:  Cloud comfort meets classic design.  These white Grand Court shoes feature a cushioned Cloudfoam sole for ultimate comfort all day long.,Nike Air More Uptempo Mens Slides.png ,1,1527,1297,975,1929
MOC12175,Nike Alphafly 3 Mens Road Racing Shoes,DarkRed,6.676376847,Lifestyle White Web BOOST Shoes:  These sleek kicks feature a futuristic web design woven across the pristine white upper. BOOST technology in the sole provides all-day comfort for conquering your daily hustle.,Nike Alphafly 3 Mens Road Racing Shoes.png ,1,1442,1990,929,1627
EUM28266,Nike Dunk Low Retro Mens Shoes,MediumPurple,6.673824379,Men Lifestyle Pink Adilette Slides:  Forget boring slides!  These vibrant pink numbers will have your feet feeling (and looking) beach-ready even in the heart of the city.,Nike Dunk Low Retro Mens Shoes.jpg ,3,1500,942,948,1264
JLD71027,Nike Dunk Low Retro Premium Mens Shoes,DarkViolet,6.671271912,Men originals Blue Superstar Shoes:  A classic gets a cool upgrade.  These iconic blue Superstars add a pop of color to any outfit  maintaining their timeless appeal.,Nike Dunk Low Retro Premium Mens Shoes.jpg ,1,1502,1564,1571,928
RMV32592,Nike Free RN NN Mens Road Running Shoes,DarkSlateBlue,6.668719445,Men originals Green TMNT Shell-Toe Shoes:  Cowabunga dudes!  Channel your inner teenage mutant ninja turtle with these limited edition green shell-toe shoes.  Totally tubular!,Nike Free RN NN Mens Road Running Shoes.png ,4,1278,1659,926,1540
XNN01558,Nike SB Zoom Blazer Low Pro GT Skate Shoes,LightSeaGreen,6.666166977,Men originals White Forum Low CL Shoes:  Clean and crisp  these white Forum Lows offer a timeless design with premium materials for a touch of luxury.,Nike SB Zoom Blazer Low Pro GT Skate Shoes.png ,4,1079,936,837,1617
QDQ47139,Air Jordan 1 Mid Mens Shoes(2),DarkKhaki,6.66361451,Men originals White NMD_R1 Shoes:  The ultimate in street style.  These white NMD_R1s feature a futuristic silhouette and comfortable boost technology for effortless cool.,Air Jordan 1 Mid Mens Shoes(2).png ,3,1732,1649,1993,954
TWQ54145,Air Jordan 1 Mid SE Mens Shoes,CornflowerBlue,6.661062043,Men originals White Samba OG Shoes:  A true OG.  These pristine white Samba OGs are a must-have for any sneaker collection  offering classic style and versatility.,Air Jordan 1 Mid SE Mens Shoes.png ,4,1081,1938,1205,1479
BYO40797,Air Jordan Legacy 312 Low PSG Mens Shoes,RebeccaPurple,6.658509575,Men originals White Superstar Shoes:  Another classic!  This fresh pair of white Superstars is perfect for everyday wear  offering comfort and iconic design.,Air Jordan Legacy 312 Low PSG Mens Shoes.png ,4,1178,1820,1056,884
DHM68037,Jordan Jumpman Mens Slides,Tomato,6.655957108,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES:  Channel your inner champion in these black ADI-SHAWT shoes.  Inspired by classic running styles  they offer comfort and support to power through your next workout. ,Jordan Jumpman Mens Slides.png ,3,1512,1585,1112,974
FZE10204,Jordan Stadium 90 Mens Shoes,MediumSlateBlue,6.65340464,Men Running Black CLEAR FACTOR SHOES:  These sleek black running shoes feature a breathable mesh upper that keeps your feet cool and comfortable on every mile.,Jordan Stadium 90 Mens Shoes.png ,4,1953,1108,1364,1019
BWN85022,Jumpman Two Trey Mens Shoes,SandyBrown,6.650852173,Men Running Black FLEXPACE SHOES:  Built for flexibility  these black FLEXPACE shoes adapt to your every move  offering a smooth and comfortable running experience.,Jumpman Two Trey Mens Shoes.png ,4,1821,1589,1603,1711
AHI55584,KD Trey 5 X EP Basketball Shoes,MidnightBlue,6.648299706,Men Running Black Ultimashow Shoes:  Don't be afraid to push your limits.  These black Ultimashow shoes boast advanced technology and a supportive fit to help you achieve your running goals.,KD Trey 5 X EP Basketball Shoes.png ,4,1183,1098,1476,900
AHK33955,LeBron NXXT Gen AMPD EP Basketball Shoes,DarkTurquoise,6.645747238,Men Running Blue ADIMOVE SHOES:  These electric blue ADIMOVE shoes are designed to move with you  offering lightweight comfort and flexibility for your daily run.,LeBron NXXT Gen AMPD EP Basketball Shoes.png ,2,953,810,1722,1460
VLE04986,Luka 2 PF Basketball Shoes,PaleVioletRed,6.643194771,Men Running Blue AstoundRun M:  Turn heads on your next run with these eye-catching blue AstoundRun shoes.  Featuring responsive cushioning and a stylish design.,Luka 2 PF Basketball Shoes.png ,2,1094,1573,1456,1978
ADI29480,Nike Air Force 1 07 LV8 Mens Shoes,LightCoral,6.640642303,Men Running Blue Supernova 3 Running Shoes:  These reliable blue Supernova 3 shoes provide all the support and comfort you need to conquer any distance.,Nike Air Force 1 07 LV8 Mens Shoes.png ,3,1456,819,1031,1629
FTT28920,Nike Air Max 1 SE Mens Shoe,LightCyan,6.638089836,Men Running Blue Ultraboost Light Shoes:  Experience ultimate comfort and energy return with these lightweight blue Ultraboost shoes.,Nike Air Max 1 SE Mens Shoe.png ,2,1708,1113,1083,1829
HKI21321,Nike Invincible 3 Mens Road Running Shoes,Firebrick,6.635537369,Lifestyle White Web BOOST Shoes:  These sleek kicks feature a futuristic web design woven across the pristine white upper. BOOST technology in the sole provides all-day comfort for conquering your daily hustle.,Nike Invincible 3 Mens Road Running Shoes.png ,3,1037,1734,1164,1135
VVM41292,Air Jordan 1 Zoom CMFT 2 Mens Shoes(1),DimGray,6.632984901,Men Lifestyle Pink Adilette Slides:  Forget boring slides!  These vibrant pink numbers will have your feet feeling (and looking) beach-ready even in the heart of the city.,Air Jordan 1 Zoom CMFT 2 Mens Shoes(1).png ,2,1347,1564,1201,1776
QYE12672,Air Jordan I High G Mens Golf Shoes,DarkOrange,6.630432434,Men originals Blue Superstar Shoes:  A classic gets a cool upgrade.  These iconic blue Superstars add a pop of color to any outfit  maintaining their timeless appeal.,Air Jordan I High G Mens Golf Shoes.png ,4,934,1289,861,1035
WIW88005,Jordan Stadium 90 Mens Shoes(1),MediumSeaGreen,6.627879967,Men originals Green TMNT Shell-Toe Shoes:  Cowabunga dudes!  Channel your inner teenage mutant ninja turtle with these limited edition green shell-toe shoes.  Totally tubular!,Jordan Stadium 90 Mens Shoes(1).png ,3,1044,1103,1283,973
TTO01943,Nike G.T. Jump 2 EP Mens Basketball Shoes,RoyalBlue,6.625327499,Men originals White Forum Low CL Shoes:  Clean and crisp  these white Forum Lows offer a timeless design with premium materials for a touch of luxury.,Nike G.T. Jump 2 EP Mens Basketball Shoes.png ,3,1642,864,852,909
VJC09518,Nike GP Challenge Pro Mens Hard Court Tennis Shoes,Fuchsia,6.622775032,Men originals White NMD_R1 Shoes:  The ultimate in street style.  These white NMD_R1s feature a futuristic silhouette and comfortable boost technology for effortless cool.,Nike GP Challenge Pro Mens Hard Court Tennis Shoes.png ,1,1775,1497,1803,1546
TJN10816,Nike Offcourt Mens Slides(1),Chocolate,6.620222564,Men originals White Samba OG Shoes:  A true OG.  These pristine white Samba OGs are a must-have for any sneaker collection  offering classic style and versatility.,Nike Offcourt Mens Slides(1).png ,4,996,1827,1903,1867
KEJ12139,Nike Offcourt Mens Slides,Teal,6.617670097,Men originals White Superstar Shoes:  Another classic!  This fresh pair of white Superstars is perfect for everyday wear  offering comfort and iconic design.,Nike Offcourt Mens Slides.png ,3,1566,933,1371,1304
QPN34241,Best Nike shoes to wear with jeans,Goldenrod,6.61511763,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES:  Channel your inner champion in these black ADI-SHAWT shoes.  Inspired by classic running styles  they offer comfort and support to power through your next workout. ,Best Nike shoes to wear with jeans.jpg ,4,1358,1889,1496,1998
HWC98241,Best trail-running shoes by Nike,DodgerBlue,6.612565162,Men Running Black CLEAR FACTOR SHOES:  These sleek black running shoes feature a breathable mesh upper that keeps your feet cool and comfortable on every mile.,Best trail-running shoes by Nike.jpg ,1,1394,1789,1373,1470
PZC09935,Nike Superfly 9 Academy Mercurial Dream Speed MG High-Top Football Boot,DarkOrchid,6.610012695,Men Running Black FLEXPACE SHOES:  Built for flexibility  these black FLEXPACE shoes adapt to your every move  offering a smooth and comfortable running experience.,Nike Superfly 9 Academy Mercurial Dream Speed MG High-Top Football Boot.png ,4,1025,1464,1704,1690
EKX76077,Nike Superfly 9 Elite Mercurial Dream Speed FG High-Top Football Boot,Peru,6.607460227,Men Running Black Ultimashow Shoes:  Don't be afraid to push your limits.  These black Ultimashow shoes boast advanced technology and a supportive fit to help you achieve your running goals.,Nike Superfly 9 Elite Mercurial Dream Speed FG High-Top Football Boot.png ,3,821,1100,864,1652
FYF90149,The history of the Air Max 97,SteelBlue,6.60490776,Men Running Blue ADIMOVE SHOES:  These electric blue ADIMOVE shoes are designed to move with you  offering lightweight comfort and flexibility for your daily run.,The history of the Air Max 97.jpg ,4,1874,1837,1181,1323
TMC17250,The history of the Air Max 90,Crimson,6.602355293,Men Running Blue AstoundRun M:  Turn heads on your next run with these eye-catching blue AstoundRun shoes.  Featuring responsive cushioning and a stylish design.,The history of the Air Max 90.jpg,2,1310,955,1607,1685
